Wall time,Step,Value
1548733476.380779,4,0.02500000037252903
1548733476.557319,6,0.01666666753590107
1548733477.277738,9,0.011111111380159855
1548733478.99923,13,0.007692307699471712
1548733481.17024,18,0.0055555556900799274
1548733482.069843,20,0.004999999888241291
1548733482.9111319,22,0.004545454401522875
1548733484.171631,25,0.004000000189989805
1548733485.3965921,28,0.0035714285913854837
1548733486.22173,30,0.0033333334140479565
1548733490.3801,39,0.0051282052882015705
1548733491.216964,41,0.004878048785030842
1548733491.6143749,42,0.004761904943734407
1548733492.0545542,43,0.004651162773370743
1548733493.717039,47,0.0042553190141916275
1548733495.726042,52,0.003846153849735856
1548733496.604175,54,0.003703703870996833
1548733497.019739,55,0.003636363660916686
1548733497.856073,57,0.003508772002533078
1548733498.257493,58,0.003448275849223137
1548733499.0893571,60,0.0033333334140479565
1548733503.4478111,71,0.0028169015422463417
1548733508.051457,82,0.0036585365887731314
1548733508.385416,83,0.0036144577898085117
1548733508.735641,84,0.0035714285913854837
1548733510.111326,88,0.003409090917557478
1548733511.193399,91,0.0032967033330351114
1548733511.5908449,92,0.0032608695328235626
1548733514.135531,96,0.004166666883975267
1548733515.448722,99,0.004040404222905636
1548733516.767363,102,0.004000000189989805
1548733518.57027,106,0.003000000026077032
1548733519.005815,107,0.003000000026077032
1548733519.451678,108,0.003000000026077032
1548733519.939449,109,0.003000000026077032
1548733522.692717,115,0.003000000026077032
1548733523.859988,117,0.003000000026077032
1548733529.931293,127,0.003000000026077032
1548733531.931031,130,0.003000000026077032
1548733533.871249,133,0.003000000026077032
1548733534.4896169,134,0.0020000000949949026
1548733535.328498,136,0.0020000000949949026
1548733537.00233,140,0.0020000000949949026
1548733537.4077592,141,0.0020000000949949026
1548733538.3069592,143,0.0020000000949949026
1548733540.4305332,148,0.0020000000949949026
1548733545.4767869,160,0.0020000000949949026
1548733545.913225,161,0.0020000000949949026
1548733546.312512,162,0.0020000000949949026
1548733548.373421,167,0.0020000000949949026
1548733549.9904451,171,0.0020000000949949026
1548733551.766389,175,0.0010000000474974513
1548733552.240486,176,0.0010000000474974513
1548733554.6726341,182,0.0010000000474974513
1548733556.09332,185,0.0010000000474974513
1548733556.58775,186,0.0010000000474974513
1548733557.049255,187,0.0010000000474974513
1548733557.465736,188,0.0010000000474974513
1548733557.8746161,189,0.0010000000474974513
1548733559.977083,194,0.0010000000474974513
1548733560.3625321,195,0.0
1548733562.6928,201,0.0
1548733563.115076,202,0.0
1548733564.695945,206,0.0
1548733565.591902,208,0.0
1548733566.926722,211,0.0
1548733569.0513868,216,0.0
1548733570.555878,220,0.0
1548733570.981834,221,0.0
1548733572.2125099,223,0.0
1548733572.74629,224,0.0
1548733573.227406,225,0.0
1548733574.60461,228,0.0
1548733575.558551,230,0.0
1548733578.434748,236,0.0
1548733578.901685,237,0.0
1548733579.3200462,238,0.0
1548733579.8502882,239,0.0
1548733581.211004,242,0.0
1548733581.713377,243,0.0
1548733582.989592,246,0.0
1548733583.7996259,248,0.0
1548733589.1628978,261,0.0
1548733590.033014,263,0.0
1548733590.7988212,265,0.0
1548733594.747107,275,0.0
1548733595.1473112,276,0.0
1548733595.938379,278,0.0
1548733596.280299,279,0.0
1548733597.075199,281,0.0
1548733597.456175,282,0.0
1548733599.006561,286,0.0
1548733599.839539,288,0.0
1548733600.265485,289,0.0
1548733601.817725,293,0.0
1548733602.851817,296,0.0
1548733603.572243,298,0.0
1548733604.3390322,300,0.0
1548733604.695648,301,0.0
1548733605.4698071,303,0.0
1548733608.764113,311,0.0
1548733609.7985861,313,0.0
1548733610.15456,314,0.0
1548733610.532306,315,0.0
1548733611.31383,317,0.0
1548733612.484145,320,0.0
1548733615.918525,329,0.0
1548733616.6775439,331,0.0
1548733617.036403,332,0.0
1548733618.215086,335,0.0
1548733618.6169689,336,0.0
1548733619.8432,339,0.0
1548733620.311233,340,0.0
1548733620.7484941,341,0.0
1548733621.183583,342,0.0
1548733622.458532,345,0.0
1548733622.882646,346,0.0
1548733623.707493,348,0.0
1548733624.1077702,349,0.0
1548733624.931869,351,0.0
1548733627.392748,357,0.0
1548733627.789391,358,0.0
1548733628.583839,360,0.0
1548733628.975164,361,0.0
1548733629.748766,363,0.0
1548733630.587907,365,0.0
1548733631.4133928,367,0.0
1548733631.813133,368,0.0
1548733632.227981,369,0.0
1548733632.660373,370,0.0
1548733633.46363,372,0.0
1548733635.138707,376,0.0
1548733636.727042,380,0.0
1548733637.1223109,381,0.0
1548733637.911911,383,0.0
1548733638.309406,384,0.0
1548733638.7403488,385,0.0
1548733639.1348102,386,0.0
1548733639.524853,387,0.0
1548733644.006996,398,0.0
1548733645.20766,401,0.0
1548733645.599954,402,0.0
1548733646.019077,403,0.0
1548733646.8146439,405,0.0
1548733647.198112,406,0.0
1548733647.594062,407,0.0
1548733648.844838,410,0.0
1548733649.6408708,412,0.0
1548733651.27343,416,0.0
1548733652.561374,419,0.0
1548733654.952862,425,0.0
1548733655.347955,426,0.0
1548733655.7462668,427,0.0
1548733656.956806,430,0.0
1548733657.785423,432,0.0
1548733658.592461,434,0.0
